project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	creation_datetime	is_ffpe	portion_number	state	weight
HCMI-CMDC	0693e8b4-9a8d-4356-9f3f-7da3bf1d202d	HCM-CSHL-0511-C24	6fcebb39-c4a3-4acb-bdc4-b0297c4dba1a	HCM-CSHL-0511-C24-86M	17437bc4-9521-56fe-8ecb-c15a43b19e91	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0693e8b4-9a8d-4356-9f3f-7da3bf1d202d	HCM-CSHL-0511-C24	ec709b72-38b2-43a2-97b3-f0b1b0d01a65	HCM-CSHL-0511-C24-85A	f55a365f-cd7e-5c12-bf45-4618d64a5417	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0693e8b4-9a8d-4356-9f3f-7da3bf1d202d	HCM-CSHL-0511-C24	ec709b72-38b2-43a2-97b3-f0b1b0d01a65	HCM-CSHL-0511-C24-85A	e8031db4-ee9f-5b21-a4db-f76d68c782d7	'--	'--	'--	'--	'--	'--
HCMI-CMDC	06d42c21-4c97-4171-ac00-3979a51a59d9	HCM-CSHL-0160-C18	157e37cf-cda4-4936-ba0f-717f3349faa3	HCM-CSHL-0160-C18-01B	2c0ba172-df6f-4e17-93b4-3177b0faa4df	HCM-CSHL-0160-C18-01B-01	1564358400	True	'--	released	1200.0
HCMI-CMDC	06d42c21-4c97-4171-ac00-3979a51a59d9	HCM-CSHL-0160-C18	ce4c8915-4e10-497d-b147-2f2b7533f27d	HCM-CSHL-0160-C18-10A	4ae18446-04f5-4c64-a08d-9c6763ba725f	HCM-CSHL-0160-C18-10A-01	1554249600	False	'--	released	2.0
HCMI-CMDC	06d42c21-4c97-4171-ac00-3979a51a59d9	HCM-CSHL-0160-C18	ee091ee0-eb27-452e-8c36-87cce2190257	HCM-CSHL-0160-C18-85A	2d4dd1a3-c319-5141-a080-f3f141127fa3	'--	'--	'--	'--	'--	'--
HCMI-CMDC	06d42c21-4c97-4171-ac00-3979a51a59d9	HCM-CSHL-0160-C18	ee091ee0-eb27-452e-8c36-87cce2190257	HCM-CSHL-0160-C18-85A	37e6d2d7-71be-586f-a376-74b6e5939cb0	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0798bf7a-53f3-4d88-a863-b4fc186bb5b6	HCM-BROD-0417-C71	5e022434-3cf6-4ff1-8b3f-f8f9626f23c4	HCM-BROD-0417-C71-01A	71ec7047-c323-4812-8fa1-cd2ed2db496b	HCM-BROD-0417-C71-01A-11	1573430400	False	'--	released	20.0
HCMI-CMDC	0798bf7a-53f3-4d88-a863-b4fc186bb5b6	HCM-BROD-0417-C71	84de5665-8beb-4d42-9b60-5404a6b51924	HCM-BROD-0417-C71-10A	7e9026b4-9b21-4b66-b58b-7b658582a781	HCM-BROD-0417-C71-10A-01	1582243200	False	'--	released	'--
HCMI-CMDC	0798bf7a-53f3-4d88-a863-b4fc186bb5b6	HCM-BROD-0417-C71	c49ae30e-34df-4547-b7d9-3e38f6aa366d	HCM-BROD-0417-C71-85A	1b55925c-e0f8-5ac2-8933-9cd9ce95044d	'--	'--	'--	'--	'--	'--
