treatmentid	sampleid	Dose	Response
Ivosidenib	160545	7.98	99.75
Ivosidenib	160545	19.95	107.68
Ivosidenib	160545	49.88	106.36
Ivosidenib	160616	0.0021	84.6
Ivosidenib	160616	0.00519	98.41
Ivosidenib	160616	0.00998	100.6
Ivosidenib	160616	0.02992	137.76
Ivosidenib	160616	0.0798	111.25
Ivosidenib	160616	0.1995	110.31
Ivosidenib	160616	0.5087	101.32
Ivosidenib	160616	0.9975	115.25
Ivosidenib	160616	2.993	97.05
Ivosidenib	160616	7.98	105.4
Ivosidenib	160616	19.95	107.74
Ivosidenib	160616	49.88	95.51
Ivosidenib	160622	0.0021	95.63
Ivosidenib	160622	0.00519	104.48
Ivosidenib	160622	0.00998	100.91
Ivosidenib	160622	0.02992	98.79
Ivosidenib	160622	0.0798	90.64
Ivosidenib	160622	0.1995	88.88
Ivosidenib	160622	0.5087	95.36
Ivosidenib	160622	0.9975	103.03
Ivosidenib	160622	2.993	96.49
Ivosidenib	160622	7.98	93.3
Ivosidenib	160622	19.95	98.75
Ivosidenib	160622	49.88	87.73
Ivosidenib	160778	0.0021	89.64
Ivosidenib	160778	0.00519	81.2
Ivosidenib	160778	0.00998	78.25
Ivosidenib	160778	0.02992	70.44
Ivosidenib	160778	0.0798	74.27
Ivosidenib	160778	0.1995	83.4
Ivosidenib	160778	0.5087	79.41
Ivosidenib	160778	0.9975	77.39
Ivosidenib	160778	2.993	85.97
Ivosidenib	160778	7.98	84.46
Ivosidenib	160778	19.95	85.93
Ivosidenib	160778	49.88	94.69
Ivosidenib	160781	0.0021	69.7
Ivosidenib	160781	0.00519	83.92
Ivosidenib	160781	0.00998	63.64
Ivosidenib	160781	0.02992	89.04
Ivosidenib	160781	0.0798	109.09
Ivosidenib	160781	0.1995	51.28
Ivosidenib	160781	0.5087	65.27
Ivosidenib	160781	0.9975	93.01
Ivosidenib	160781	2.993	113.05
Ivosidenib	160781	7.98	105.36
Ivosidenib	160781	19.95	92.31
Ivosidenib	160781	49.88	103.96
Ivosidenib	160890	0.0021	88.99
Ivosidenib	160890	0.00519	94.84
Ivosidenib	160890	0.00998	95.97
Ivosidenib	160890	0.02992	91.48
Ivosidenib	160890	0.0798	89.18
Ivosidenib	160890	0.1995	97.67
Ivosidenib	160890	0.5087	92.05
Ivosidenib	160890	0.9975	91.19
Ivosidenib	160890	2.993	87.05
Ivosidenib	160890	7.98	89.26
Ivosidenib	160890	19.95	91.38
Ivosidenib	160890	49.88	76.85
Ivosidenib	161192	0.0021	60.69
Ivosidenib	161192	0.00519	106.15
Ivosidenib	161192	0.00998	35.21
Ivosidenib	161192	0.02992	93.73
Ivosidenib	161192	0.0798	51.73
Ivosidenib	161192	0.1995	62.87
Ivosidenib	161192	0.5087	89.5
Ivosidenib	161192	0.9975	40.2
Ivosidenib	161192	2.993	108.19
Ivosidenib	161192	7.98	34.96
Ivosidenib	161192	19.95	63.25
Ivosidenib	161192	49.88	65.3
Ivosidenib	141018	0.0021	90.94
Ivosidenib	141018	0.00519	105.3
Ivosidenib	141018	0.00998	108.95
Ivosidenib	141018	0.02992	121.25
Ivosidenib	141018	0.0798	112.59
Ivosidenib	141018	0.1995	117.15
Ivosidenib	141018	0.5087	101.42
Ivosidenib	141018	0.998	113.62
Ivosidenib	141018	2.99	108.72
Ivosidenib	141018	7.98	103.7
Ivosidenib	141018	20	114.53
Ivosidenib	141018	49.9	108.72
Ivosidenib	150441	0.0021	98.36
Ivosidenib	150441	0.00519	97.13
Ivosidenib	150441	0.00998	96.74
Ivosidenib	150441	0.02992	93.2
Ivosidenib	150441	0.0798	100.24
Ivosidenib	150441	0.1995	95.63
Ivosidenib	150441	0.5087	111.26
Ivosidenib	150441	0.998	90.5
Ivosidenib	150441	2.99	89.67
Ivosidenib	150441	7.98	107.43
Ivosidenib	150441	20	96.82
Ivosidenib	150441	49.9	98.33
Ivosidenib	150718	0.0021	65.71
Ivosidenib	150718	0.00519	119.45
Ivosidenib	150718	0.00998	99.76
Ivosidenib	150718	0.02992	105.48
Ivosidenib	150718	0.0798	88.22
Ivosidenib	150718	0.1995	69.3
Ivosidenib	150718	0.5087	63.68
Ivosidenib	150718	0.998	108.39
Ivosidenib	150718	2.99	82.59
Ivosidenib	150718	7.98	61.83
Ivosidenib	150718	20	53.3
Ivosidenib	150718	49.9	77.06
Ivosidenib	150793	0.0021	69.15
Ivosidenib	150793	0.00519	73.12
Ivosidenib	150793	0.00998	71.63
Ivosidenib	150793	0.02992	61.58
Ivosidenib	150793	0.0798	77.13
Ivosidenib	150793	0.1995	70.69
Ivosidenib	150793	0.5087	74.92
Ivosidenib	150793	0.998	63.49
Ivosidenib	150793	2.99	81.09
Ivosidenib	150793	7.98	85.89
Ivosidenib	150793	20	57.82
Ivosidenib	150793	49.9	61.34
Ivosidenib	151149	0.0021	108.58
Ivosidenib	151149	0.00519	115.92
Ivosidenib	151149	0.00998	106.7
Ivosidenib	151149	0.02992	121.83
Ivosidenib	151149	0.0798	100.21
Ivosidenib	151149	0.1995	110.99
Ivosidenib	151149	0.5087	75.96
Ivosidenib	151149	0.998	84.96
Ivosidenib	151149	2.99	83.11
Ivosidenib	151149	7.98	91.2
Ivosidenib	151149	20	78.74
Ivosidenib	151149	49.9	58.45
Ivosidenib	151620	0.0021	118.5
Ivosidenib	151620	0.00519	93.15
Ivosidenib	151620	0.00998	77.98
Ivosidenib	151620	0.02992	114.89
Ivosidenib	151620	0.0798	129.32
Ivosidenib	151620	0.1995	43.02
Ivosidenib	151620	0.5087	78.17
Ivosidenib	151620	0.998	113.97
Ivosidenib	151620	2.99	93.43
Ivosidenib	151620	7.98	92.69
Ivosidenib	151620	20	105.55
Ivosidenib	151620	49.9	54.67
Ivosidenib	150749	0.0021	97.39
Ivosidenib	150749	0.00519	111.42
Ivosidenib	150749	0.00998	65.35
Ivosidenib	150749	0.02992	81.57
Ivosidenib	150749	0.0798	78.45
Ivosidenib	150749	0.1995	171.36
Ivosidenib	150749	0.5087	76.27
Ivosidenib	150749	0.998	89.98
Ivosidenib	150749	2.99	85.85
Ivosidenib	150749	7.98	82.58
Ivosidenib	150749	20	76.58
Ivosidenib	150749	49.9	89.52
Ivosidenib	140692	0.0021	74.27
Ivosidenib	140692	0.00519	84.1
Ivosidenib	140692	0.00998	71.3
Ivosidenib	140692	0.02992	99.18
Ivosidenib	140692	0.0798	76.74
Ivosidenib	140692	0.1995	110.43
Ivosidenib	140692	0.5087	118.15
Ivosidenib	140692	0.9975	88.52
Ivosidenib	140692	2.993	127.52
Ivosidenib	140692	7.98	85.38
Ivosidenib	140692	19.95	96.24
Ivosidenib	140692	49.88	93.5
Ivosidenib	150054	0.0021	88.99
Ivosidenib	150054	0.00519	82.88
Ivosidenib	150054	0.00998	94.97
Ivosidenib	150054	0.02992	141.35
Ivosidenib	150054	0.0798	66.61
Ivosidenib	150054	0.1995	98.74
Ivosidenib	150054	0.5087	81.69
Ivosidenib	150054	0.9975	71.33
Ivosidenib	150054	2.993	100.6
Ivosidenib	150054	7.98	120.59
Ivosidenib	150054	19.95	79.17
Ivosidenib	150054	49.88	91.14
Ivosidenib	150122	0.0021	91.61
Ivosidenib	150122	0.00519	95.54
Ivosidenib	150122	0.00998	100.58
Ivosidenib	150122	0.02992	99.81
Ivosidenib	150122	0.0798	95.16
Ivosidenib	150122	0.1995	111.04
Ivosidenib	150122	0.5087	104.09
Ivosidenib	150122	0.9975	87.38
Ivosidenib	150122	2.993	90.61
Ivosidenib	150122	7.98	102.7
Ivosidenib	150122	19.95	89.24
Ivosidenib	150122	49.88	92.68
Ivosidenib	150204	0.0021	93.61
Ivosidenib	150204	0.00519	112.78
Ivosidenib	150204	0.00998	130.03
Ivosidenib	150204	0.02992	81.95
Ivosidenib	150204	0.0798	95.37
Ivosidenib	150204	0.1995	134.5
Ivosidenib	150204	0.5087	93.29
Ivosidenib	150204	0.9975	131.63
Ivosidenib	150204	2.993	123.48
Ivosidenib	150204	7.98	120.61
Ivosidenib	150204	19.95	89.46
Ivosidenib	150204	49.88	74.6
Ivosidenib	150412	0.0021	84.44
Ivosidenib	150412	0.00519	93.21
Ivosidenib	150412	0.00998	97.68
Ivosidenib	150412	0.02992	95.36
Ivosidenib	150412	0.0798	108.28
Ivosidenib	150412	0.1995	120.7
Ivosidenib	150412	0.5087	102.98
Ivosidenib	150412	0.9975	81.29
Ivosidenib	150412	2.993	92.22
Ivosidenib	150412	7.98	115.23
Ivosidenib	150412	19.95	100.5
Ivosidenib	150412	49.88	126.99
Ivosidenib	150851	0.0021	77.26
Ivosidenib	150851	0.00519	82.43
Ivosidenib	150851	0.00998	65.75
Ivosidenib	150851	0.02992	77.47
Ivosidenib	150851	0.0798	73.33
Ivosidenib	150851	0.1995	71.2
Ivosidenib	150851	0.5087	65.23
Ivosidenib	150851	0.9975	86.39
Ivosidenib	150851	2.993	60.46
