"patient_id","common_name","cancer_type","other_names","species","improve_sample_id","id_source","other_id","model_type"
"PT-ThvuiE","IST-MES2","Mesothelioma","IST-MES-2","Homo sapiens (Human)",4,"Cellosaurus","CVCL_1312","cell line"
"PT-ThvuiE","IST-MES2","Mesothelioma","ISTMES2","Homo sapiens (Human)",4,"DepMap","ACH-000331","cell line"
"PT-ThvuiE","IST-MES2","Mesothelioma","ISTMES2","Homo sapiens (Human)",4,"Sanger","SIDM01554","cell line"
"PT-ThvuiE","IST-MES2","Mesothelioma","ISTMES2","Homo sapiens (Human)",4,"CCLE","ISTMES2_PLEURA","cell line"
"PT-ThvuiE","IST-MES2","Mesothelioma","ISTMES2","Homo sapiens (Human)",4,"Cellosaurus","CVCL_1312","cell line"
"PT-ThvuiE","IST-MES2","Mesothelioma","IstMes2","Homo sapiens (Human)",4,"DepMap","ACH-000331","cell line"
"PT-ThvuiE","IST-MES2","Mesothelioma","IstMes2","Homo sapiens (Human)",4,"Sanger","SIDM01554","cell line"
"PT-ThvuiE","IST-MES2","Mesothelioma","IstMes2","Homo sapiens (Human)",4,"CCLE","ISTMES2_PLEURA","cell line"
"PT-ThvuiE","IST-MES2","Mesothelioma","IstMes2","Homo sapiens (Human)",4,"Cellosaurus","CVCL_1312","cell line"
"PT-ThvuiE","IST-MES2","Mesothelioma","Istituto Scientifico Tumori-Mesothelioma 2","Homo sapiens (Human)",4,"DepMap","ACH-000331","cell line"
"PT-ThvuiE","IST-MES2","Mesothelioma","Istituto Scientifico Tumori-Mesothelioma 2","Homo sapiens (Human)",4,"Sanger","SIDM01554","cell line"
"PT-ThvuiE","IST-MES2","Mesothelioma","Istituto Scientifico Tumori-Mesothelioma 2","Homo sapiens (Human)",4,"CCLE","ISTMES2_PLEURA","cell line"
"PT-ThvuiE","IST-MES2","Mesothelioma","Istituto Scientifico Tumori-Mesothelioma 2","Homo sapiens (Human)",4,"Cellosaurus","CVCL_1312","cell line"
"PT-mlZ1w1","MUTZ-5","B-Lymphoblastic Leukemia","MUTZ-5","Homo sapiens (Human)",5,"DepMap","ACH-000492","cell line"
"PT-mlZ1w1","MUTZ-5","B-Lymphoblastic Leukemia","MUTZ-5","Homo sapiens (Human)",5,"Sanger","SIDM01689","cell line"
"PT-mlZ1w1","MUTZ-5","B-Lymphoblastic Leukemia","MUTZ-5","Homo sapiens (Human)",5,"CCLE","MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"PT-mlZ1w1","MUTZ-5","B-Lymphoblastic Leukemia","MUTZ-5","Homo sapiens (Human)",5,"Cellosaurus","CVCL_1873","cell line"
"PT-mlZ1w1","MUTZ-5","B-Lymphoblastic Leukemia","Mutz-5","Homo sapiens (Human)",5,"DepMap","ACH-000492","cell line"
"PT-mlZ1w1","MUTZ-5","B-Lymphoblastic Leukemia","Mutz-5","Homo sapiens (Human)",5,"Sanger","SIDM01689","cell line"
"PT-mlZ1w1","MUTZ-5","B-Lymphoblastic Leukemia","Mutz-5","Homo sapiens (Human)",5,"CCLE","MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"PT-mlZ1w1","MUTZ-5","B-Lymphoblastic Leukemia","Mutz-5","Homo sapiens (Human)",5,"Cellosaurus","CVCL_1873","cell line"
"PT-mlZ1w1","MUTZ-5","B-Lymphoblastic Leukemia","MUTZ5","Homo sapiens (Human)",5,"DepMap","ACH-000492","cell line"
"PT-mlZ1w1","MUTZ-5","B-Lymphoblastic Leukemia","MUTZ5","Homo sapiens (Human)",5,"Sanger","SIDM01689","cell line"
"PT-mlZ1w1","MUTZ-5","B-Lymphoblastic Leukemia","MUTZ5","Homo sapiens (Human)",5,"CCLE","MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"PT-mlZ1w1","MUTZ-5","B-Lymphoblastic Leukemia","MUTZ5","Homo sapiens (Human)",5,"Cellosaurus","CVCL_1873","cell line"
"PT-mlZ1w1","MUTZ-5","B-Lymphoblastic Leukemia","Menschliche Und Tierische Zellkulture-5","Homo sapiens (Human)",5,"DepMap","ACH-000492","cell line"
"PT-mlZ1w1","MUTZ-5","B-Lymphoblastic Leukemia","Menschliche Und Tierische Zellkulture-5","Homo sapiens (Human)",5,"Sanger","SIDM01689","cell line"
"PT-mlZ1w1","MUTZ-5","B-Lymphoblastic Leukemia","Menschliche Und Tierische Zellkulture-5","Homo sapiens (Human)",5,"CCLE","MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"PT-mlZ1w1","MUTZ-5","B-Lymphoblastic Leukemia","Menschliche Und Tierische Zellkulture-5","Homo sapiens (Human)",5,"Cellosaurus","CVCL_1873","cell line"
"PT-ruaWWk","TM-31","Glioma","TM-31","Homo sapiens (Human)",6,"DepMap","ACH-000592","cell line"
"PT-ruaWWk","TM-31","Glioma","TM-31","Homo sapiens (Human)",6,"Sanger","SIDM01460","cell line"
"PT-ruaWWk","TM-31","Glioma","TM-31","Homo sapiens (Human)",6,"CCLE","TM31_CENTRAL_NERVOUS_SYSTEM","cell line"
"PT-ruaWWk","TM-31","Glioma","TM-31","Homo sapiens (Human)",6,"Cellosaurus","CVCL_6735","cell line"
"PT-ruaWWk","TM-31","Glioma","TM31","Homo sapiens (Human)",6,"DepMap","ACH-000592","cell line"
"PT-ruaWWk","TM-31","Glioma","TM31","Homo sapiens (Human)",6,"Sanger","SIDM01460","cell line"
"PT-ruaWWk","TM-31","Glioma","TM31","Homo sapiens (Human)",6,"CCLE","TM31_CENTRAL_NERVOUS_SYSTEM","cell line"
"PT-ruaWWk","TM-31","Glioma","TM31","Homo sapiens (Human)",6,"Cellosaurus","CVCL_6735","cell line"
"PT-O04gFy","SNU-503","Colorectal Carcinoma","SNU-503","Homo sapiens (Human)",7,"DepMap","ACH-000683","cell line"
"PT-O04gFy","SNU-503","Colorectal Carcinoma","SNU-503","Homo sapiens (Human)",7,"Sanger","SIDM00497","cell line"
"PT-O04gFy","SNU-503","Colorectal Carcinoma","SNU-503","Homo sapiens (Human)",7,"CCLE","SNU503_LARGE_INTESTINE","cell line"
"PT-O04gFy","SNU-503","Colorectal Carcinoma","SNU-503","Homo sapiens (Human)",7,"Cellosaurus","CVCL_5071","cell line"
