"common_name","cancer_type","other_names","species","improve_sample_id","id_source","other_id","model_type"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","Ovcar3","Homo sapiens (Human)",1,"DepMap","ACH-000001","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","Ovcar3","Homo sapiens (Human)",1,"Sanger","SIDM00105","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","Ovcar3","Homo sapiens (Human)",1,"CCLE","NIHOVCAR3_OVARY","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","Ovcar3","Homo sapiens (Human)",1,"COSMIC","905933","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","Ovcar3","Homo sapiens (Human)",1,"WTSI","2201","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","Ovcar3","Homo sapiens (Human)",1,"Cellosaurus","CVCL_0465","cell line"
"HL-60","Acute Myeloid Leukemia","HL-60","Homo sapiens (Human)",2,"DepMap","ACH-000002","cell line"
"HL-60","Acute Myeloid Leukemia","HL-60","Homo sapiens (Human)",2,"Sanger","SIDM00829","cell line"
"HL-60","Acute Myeloid Leukemia","HL-60","Homo sapiens (Human)",2,"CCLE","HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"HL-60","Acute Myeloid Leukemia","HL-60","Homo sapiens (Human)",2,"COSMIC","905938","cell line"
"HL-60","Acute Myeloid Leukemia","HL-60","Homo sapiens (Human)",2,"WTSI","55","cell line"
"HL-60","Acute Myeloid Leukemia","HL-60","Homo sapiens (Human)",2,"Cellosaurus","CVCL_0002","cell line"
"HL-60","Acute Myeloid Leukemia","HL 60","Homo sapiens (Human)",2,"DepMap","ACH-000002","cell line"
"HL-60","Acute Myeloid Leukemia","HL 60","Homo sapiens (Human)",2,"Sanger","SIDM00829","cell line"
"HL-60","Acute Myeloid Leukemia","HL 60","Homo sapiens (Human)",2,"CCLE","HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"HL-60","Acute Myeloid Leukemia","HL 60","Homo sapiens (Human)",2,"COSMIC","905938","cell line"
"HL-60","Acute Myeloid Leukemia","HL 60","Homo sapiens (Human)",2,"WTSI","55","cell line"
"HL-60","Acute Myeloid Leukemia","HL 60","Homo sapiens (Human)",2,"Cellosaurus","CVCL_0002","cell line"
"HL-60","Acute Myeloid Leukemia","HL.60 HL60","Homo sapiens (Human)",2,"DepMap","ACH-000002","cell line"
"HL-60","Acute Myeloid Leukemia","HL.60 HL60","Homo sapiens (Human)",2,"Sanger","SIDM00829","cell line"
"HL-60","Acute Myeloid Leukemia","HL.60 HL60","Homo sapiens (Human)",2,"CCLE","HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"HL-60","Acute Myeloid Leukemia","HL.60 HL60","Homo sapiens (Human)",2,"COSMIC","905938","cell line"
"HL-60","Acute Myeloid Leukemia","HL.60 HL60","Homo sapiens (Human)",2,"WTSI","55","cell line"
"HL-60","Acute Myeloid Leukemia","HL.60 HL60","Homo sapiens (Human)",2,"Cellosaurus","CVCL_0002","cell line"
"HL-60","Acute Myeloid Leukemia","Human Leukemia-60","Homo sapiens (Human)",2,"DepMap","ACH-000002","cell line"
"HL-60","Acute Myeloid Leukemia","Human Leukemia-60","Homo sapiens (Human)",2,"Sanger","SIDM00829","cell line"
"HL-60","Acute Myeloid Leukemia","Human Leukemia-60","Homo sapiens (Human)",2,"CCLE","HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","cell line"
"HL-60","Acute Myeloid Leukemia","Human Leukemia-60","Homo sapiens (Human)",2,"COSMIC","905938","cell line"
"HL-60","Acute Myeloid Leukemia","Human Leukemia-60","Homo sapiens (Human)",2,"WTSI","55","cell line"
"HL-60","Acute Myeloid Leukemia","Human Leukemia-60","Homo sapiens (Human)",2,"Cellosaurus","CVCL_0002","cell line"
"CACO2","Colon Adenocarcinoma","Caco-2","Homo sapiens (Human)",3,"DepMap","ACH-000003","cell line"
"CACO2","Colon Adenocarcinoma","Caco-2","Homo sapiens (Human)",3,"Sanger","SIDM00891","cell line"
"CACO2","Colon Adenocarcinoma","Caco-2","Homo sapiens (Human)",3,"CCLE","CACO2_LARGE_INTESTINE","cell line"
"CACO2","Colon Adenocarcinoma","Caco-2","Homo sapiens (Human)",3,"Cellosaurus","CVCL_0025","cell line"
"CACO2","Colon Adenocarcinoma","CaCo-2","Homo sapiens (Human)",3,"DepMap","ACH-000003","cell line"
"CACO2","Colon Adenocarcinoma","CaCo-2","Homo sapiens (Human)",3,"Sanger","SIDM00891","cell line"
"CACO2","Colon Adenocarcinoma","CaCo-2","Homo sapiens (Human)",3,"CCLE","CACO2_LARGE_INTESTINE","cell line"
