id	filename	md5	size	state
258a4b99-378f-4f13-a75d-5e24e063d389	7457e64f-50e4-4f5d-9dd6-3645263da651.rna_seq.augmented_star_gene_counts.tsv	1f201cbc093dc98192480001ddf9a530	4229676	released
874a2ff6-2ec6-4905-aaf0-0dd8d892ac52	797016b2-dd89-4a98-87a2-fada7fe1cec5.rna_seq.augmented_star_gene_counts.tsv	8026e39fd71d69b0536c1fc19005ca77	4223538	released
fabcc728-e614-45f6-8f4d-9ff464cc5fa5	5de1d7a2-13cc-4467-82f2-5f2b551586c8.rna_seq.augmented_star_gene_counts.tsv	f70c5947f8e451652878b75af1110ea1	4231068	released
958f96aa-1de7-4a1e-8007-5b16bdcf4bbe	e140679f-8e3c-4abe-b935-58649053799d.rna_seq.augmented_star_gene_counts.tsv	5ddae5195a9f6ccdb983cc77114db6ad	4229480	released
dfcecf44-3cc7-4144-b8fa-1e293d4b846d	833c68af-c289-42a6-9a50-6533d44be72b.rna_seq.augmented_star_gene_counts.tsv	3584736defc707687d35f14bc1534a84	4239133	released
666175d5-9844-4925-a761-a57624fd2b7a	71cf8dd7-b75a-40c9-bc51-4b877bb95955.rna_seq.augmented_star_gene_counts.tsv	5a3607f5df8336ce875cd323cb943b3e	4224531	released
c312271b-a950-4a52-bba3-eabc4adc252a	06330b66-7243-4408-bbf5-2e5c1117641c.rna_seq.augmented_star_gene_counts.tsv	af907f406cf8ddb6d3a69e6b01596f5d	4235246	released
d0a6f70f-eb87-4a36-8de8-22a4489544e7	75f63a7e-2577-471d-a4e9-81d624689025.rna_seq.augmented_star_gene_counts.tsv	1ab9f3837e49de3bc3283100bf4d2970	4226481	released
aa861fcd-4c3f-4b7f-92fe-f9af09d58de0	a1b6f851-af1f-4a82-8d83-f80d57a334ba.rna_seq.augmented_star_gene_counts.tsv	d5a93ee4a3eb9188c2c2a4a7a4d00d52	4228557	released
fd06b06b-b355-4e2d-9d57-b4d9d25e6202	f804cf50-3dcf-4cc8-9afa-6fb4811d75b9.rna_seq.augmented_star_gene_counts.tsv	2b93da8ee0971565eb82f1887776ba28	4220342	released
f439be5f-4781-4fe3-b9ca-702059aa1798	de599739-2948-4f75-b471-b1affe1ac965.rna_seq.augmented_star_gene_counts.tsv	2739f7d07ac656aa6575fecb1cd016c6	4235437	released
8271631d-892c-47ba-b472-d3e5ab6205c7	e3561d9b-4294-4981-a583-205c926e47dc.rna_seq.augmented_star_gene_counts.tsv	b457e1926717ee3a4cb2e37cba8f2928	4232759	released
52a2aad8-73c0-409f-b9cc-ea9d15e1fbc4	dacc5736-51e5-477b-9c2a-7b550805a1fd.rna_seq.augmented_star_gene_counts.tsv	4e21a6aaeab933afb0cd357d402dfdd3	4224066	released
4433948a-c13e-4100-aa83-2835271e08f0	20018411-e0b4-4df9-b624-9f2a66025545.rna_seq.augmented_star_gene_counts.tsv	efb4eaa712975b33bf0b9afaacea63c8	4221756	released
cbd314b7-55be-4f61-a371-aa6d36c3eaaa	8c262bb8-e2f3-4f77-b849-45536e0b4360.rna_seq.augmented_star_gene_counts.tsv	187b840a2e681fbe296eaad1ed264d12	4238831	released
214cc8b0-ff1a-407f-9f5d-78e33d07eb09	85bde5f2-5dd8-4c47-8947-6390edb52351.rna_seq.augmented_star_gene_counts.tsv	18f774ba17bfbd7e18ad0ff69efd3187	4223936	released
dd22f9b9-5051-4de5-a70f-15024eb16397	91b2e0c0-36e0-45b1-8971-a181c51098c5.rna_seq.augmented_star_gene_counts.tsv	0d0a780cd6ee52c954ba616712b2d05a	4228377	released
adee5c84-a648-4bb2-afc4-9520280e4848	cfb22850-e76d-4b4d-8089-a1fc99d04f20.rna_seq.augmented_star_gene_counts.tsv	4d8424f7c1294119c8dc9803928852d1	4230300	released
f200946d-4d60-48be-af86-c4fdef917d20	9f6a27d4-18a6-45d1-9ba5-f4a917ee4773.rna_seq.augmented_star_gene_counts.tsv	dbc86bf5683fec92ad9bc5debb02784f	4230466	released
6c214ef0-eb21-4056-8e0f-77abbe9f1f58	1e823575-d2f5-4bed-9c05-f680dafebe8e.rna_seq.augmented_star_gene_counts.tsv	457cb62d0b079c5010036f3117314e55	4221930	released
9393b391-00cf-4204-aecd-5ee3dcac59cf	04dfbfd9-2c8f-496e-a615-f8995e5154ae.rna_seq.augmented_star_gene_counts.tsv	a0df5bf6932fdf486379df9f628bf4ec	4237937	released
da0e54fe-bc2b-46c6-ba31-cafdc809f442	5bda48df-adee-40bb-9d46-789f8030c75d.rna_seq.augmented_star_gene_counts.tsv	47bf545b8b1b0a08dffac007b95e8298	4235699	released
a3e497c7-7716-4c65-b1a2-2ef5ecfe26f0	461c6b55-1708-40b4-bda5-5535a2020e68.rna_seq.augmented_star_gene_counts.tsv	d9faa11b35101dd78ba1f84ad2e2dd69	4223400	released
c53ea286-0707-40c7-a7ad-2759bf5c7f74	c1aba62f-f95a-4507-b77c-e91a699780e6.rna_seq.augmented_star_gene_counts.tsv	dc921a3b623cbd87f4caf4931f623e94	4228855	released
15e84d11-d9d3-4e2a-9487-9f1129d40255	a8c791e8-d098-4e5f-8f19-90ae0c5d4366.rna_seq.augmented_star_gene_counts.tsv	58d38636afa578da96fdea96eae42d25	4230604	released
